headline,url
"ICYMI: New year, new adventure for these...",https://www.bbc.com/news/world-59916947
ICYMI: Eel-powered Christmas lights and a...,https://www.bbc.com/news/world-59692270
'We felt like only people of colour in our...,https://www.bbc.com/news/uk-northern-ireland-60147850
The teenagers who became Nigerian sci-fi...,https://www.bbc.com/news/world-africa-60159798
Will the Highway Code update improve road safety?,https://www.bbc.com/news/business-59997523
Scientist's 'once-in-a-lifetime' new insect find,https://www.bbc.com/news/uk-england-cambridgeshire-60154018
Tiny Manchester theatre in national TV spotlight,https://www.bbc.com/news/entertainment-arts-60126052
Apple unveils AirTag safety guide amid stalker fears,https://www.bbc.com/news/technology-60164847
Period changes after Covid jab are short-lived,https://www.bbc.com/news/health-60139091
Unvaccinated US patient denied a heart transplant,https://www.bbc.com/news/world-us-canada-60132765
Musk's SpaceX rocket on collision course with moon,https://www.bbc.com/news/science-environment-60148543
"'Walk the ice, take risks and do it quickly'",https://www.bbc.com/news/business-60129897
The chefs turning to artificial intelligence,https://www.bbc.com/news/business-59651077
Africa's top shots: Weighty matters and cartwheels,https://www.bbc.com/news/world-africa-60156013
In Pictures: Holocaust Memorial Day,https://www.bbc.com/news/in-pictures-60154892
Photos show lockdown life for shielding residents,https://www.bbc.com/news/uk-england-tyne-60125941
Ghostly monkey among new Mekong area species,https://www.bbc.com/news/world-asia-60106144
The aurora hunters who chase the Northern Lights,https://www.bbc.com/news/uk-scotland-highlands-islands-60028525
Tug of war,https://edition.cnn.com/audio/podcasts/tug-of-war
Vaccination tracker,https://edition.cnn.com/interactive/2021/health/global-covid-vaccinations/
Elon Musk ,https://edition.cnn.com/2022/01/28/investing/elon-musk-tesla-stock-slide/index.html
Cold cases,https://edition.cnn.com/2022/01/28/us/colorado-dna-cold-case-killer-id/index.html
Jewel heist,https://edition.cnn.com/style/article/dresden-green-vault-heist-trial-intl-cmd/index.html
'Bomb cyclone',https://edition.cnn.com/2022/01/28/weather/noreaster-bomb-cyclone-storm-friday/index.html
Hiker death,https://edition.cnn.com/2022/01/28/us/arizona-hiker-photo-fall-death/index.html
F-35 crash images,https://edition.cnn.com/2022/01/28/asia/us-navy-f-35-crash-photos-intl-hnk-ml/index.html
"The prospect of a Russian invasion of Ukraine has caused alarm in Europe, but a move by the Kremlin would ripple far beyond the two nations",https://edition.cnn.com/2022/01/29/europe/russia-ukraine-global-implications-cmd-intl/index.html
Ukraine's President: Stop causing war 'panic',https://edition.cnn.com/2022/01/28/europe/ukraine-russia-zelensky-biden-intl/index.html
EU chief tells CNN 'nothing off table' in response to Russia,https://edition.cnn.com/videos/tv/2022/01/27/ursula-von-der-leyen-amanpour-european-union-ukraine-russia-biden.cnn
Biden says he'll move troops to Eastern Europe as top general warns of 'horrific' outcome if Russia invades Ukraine,https://edition.cnn.com/2022/01/28/politics/us-russia-ukraine-invasion-warning/index.html
Storm threatens millions of Americans with dangerous mix of heavy snow and high-speed winds on US East Coast,https://edition.cnn.com/2022/01/29/weather/noreaster-bomb-cyclone-storm-saturday/index.html
Analysis: Republicans take sides in Trump-fueled tug of war over Ukraine,https://edition.cnn.com/2022/01/28/politics/gop-trump-russia-ukraine/index.html
Jan. 6 committee subpoenas 14 Republicans who acted as fake electors for Trump,https://edition.cnn.com/2022/01/28/politics/committee-subpoenas-14-republicans/index.html
Elon Musk just took the entire EV sector down with these comments,https://edition.cnn.com/2022/01/28/investing/elon-musk-tesla-stock-slide/index.html
Bridge in Pittsburgh collapses hours before Biden visit to talk infrastructure,https://edition.cnn.com/2022/01/28/us/pittsburgh-bridge-collapse/index.html
Ashleigh Barty beats Danielle Collins to become first home Australian Open singles champion since 1978,https://edition.cnn.com/2022/01/29/tennis/australian-open-womens-final-barty-collins-spt-intl/index.html
China built ski center in nature preserve ahead of Winter Olympics,https://edition.cnn.com/2022/01/28/china/china-green-olympics-alpine-ski-nature-reserve-intl-hnk-dst/index.html
Opinion: Why Beijing Games matter to Putin,https://edition.cnn.com/2022/01/28/opinions/putin-xi-relationship-ukraine-ghitis/index.html
'How can this not be a crime?' Blackwell on fake electors plot,https://edition.cnn.com/videos/politics/2022/01/28/january-6-subpoena-fake-elector-crime-document-newsroom-blackwell-coates-intv-vpx.cnn
Hiker fell 700 feet to his death while trying to take a photo,https://edition.cnn.com/2022/01/28/us/arizona-hiker-photo-fall-death/index.html
Police solve four decades-old homicide cold cases with DNA from exhumed killer,https://edition.cnn.com/2022/01/28/us/colorado-dna-cold-case-killer-id/index.html
US Secret Service charges man with threatening to harm Biden,https://edition.cnn.com/2022/01/28/politics/kansas-man-charged-joe-biden-threats/index.html
Dramatic video shows off-duty police officer stopping armed robbery,https://edition.cnn.com/2022/01/28/europe/barcelona-robbery-off-duty-police-scli-intl/index.html
Australia to spend a record $35 million to protect koalas,https://edition.cnn.com/2022/01/28/australia/australia-koala-protection-intl-hnk/index.html
Oil executives barred from leaving Peru after massive spill causes 'ecological disaster',https://edition.cnn.com/2022/01/28/americas/peru-oil-spill-travel-ban-intl/index.html
Apple Music trolls Spotify by calling itself 'the home of Neil Young',https://edition.cnn.com/2022/01/28/tech/apple-music-neil-young/index.html
'It's messed up': NBA star weighs in on 'double standards' of soccer coverage,https://edition.cnn.com/videos/sports/2022/01/29/joel-embiid-africa-cup-of-nations-cameroon-davies-ws-intl-vpx.cnn
'Mighty Ducks' star Shaun Weiss celebrates sobriety with striking before-and-after pics,https://edition.cnn.com/2022/01/28/entertainment/shaun-weiss-sobriety-intl-scli/index.html
"A spinal fluid leak derailed my life of travel and food, but taught me to find beauty in the small things",https://edition.cnn.com/travel/article/jodi-ettenberg-legal-nomads-csf-leaks-wellness-cmd/index.html
Travel marvels: Flying yachts and whale-shaped planes ,https://edition.cnn.com/travel/article/pandemic-travel-news-flying-superyacht-beluga-xl/index.html
These are the world's best-selling planes,https://edition.cnn.com/travel/article/world-best-selling-airplanes/index.html
Tensions with Russia worry former US astronauts about the partnership in space ,https://edition.cnn.com/2022/01/28/business/us-russia-ukraine-iss-space-scn/index.html
Google pumps $1B more into smartphones,https://edition.cnn.com/2022/01/28/tech/google-india-bharti-airtel-intl-hnk/index.html
Opinion: What a difference a Black woman on the Supreme Court could begin to make,https://edition.cnn.com/2022/01/28/opinions/black-woman-to-the-supreme-court-biden-graves/index.html
The Sussexes' streaming shake-up,https://edition.cnn.com/2022/01/28/uk/royal-news-newsletter-01-28-21-scli-gbr-cmd-intl/index.html
Biden builds toward a much-needed bipartisan Capitol Hill victory -- on China,https://edition.cnn.com/2022/01/28/politics/china-us-semiconductor-chips-joe-biden/index.html
Do you have 'eco-anxiety'? Here's how to find out,https://edition.cnn.com/2022/01/28/health/eco-anxiety-harmful-for-health-wellness/index.html
See inside German-led NATO base near Ukraine ,https://edition.cnn.com/videos/world/2022/01/28/nato-base-germany-lithuania-cbc-affil-ldn-vpx.cbc
A woman has never won this Oscar. That could soon change,https://edition.cnn.com/style/article/women-cinematographers-oscars-ari-wegner-claire-mathon-helene-louvart-spc-intl/index.html
Inside the $128M heist that shocked the world -- and the police chase that followed,https://edition.cnn.com/style/article/dresden-green-vault-heist-trial-intl-cmd/index.html
Iranian women allowed to watch landmark moment as Iran qualifies for World Cup,https://edition.cnn.com/2022/01/28/football/iranian-women-football-world-cup-qualification-spt-intl/index.html
Must-watch videos of the week,https://edition.cnn.com/2022/01/28/app-news-section/videos-of-the-week-mobile-january-28/index.html
Breakfast around the world: How different places start the day,https://edition.cnn.com/travel/article/breakfast-food-around-the-world/index.html
Nadal is just one win away from becoming tennis GOAT,https://edition.cnn.com/2022/01/28/tennis/rafael-nadal-australian-open-grand-slam-record-spt-intl/index.html
Here's the way to exercise for better balance,https://edition.cnn.com/2022/01/28/health/exercises-to-improve-balance-wellness/index.html
'How can you be so bad?' Medvedev clashes with umpire in semifinal win,https://edition.cnn.com/2022/01/28/tennis/daniil-medvedev-australian-open-semifinal-spt-intl/index.html
'I'm pretty good': NBA superstar shows off soccer skills,https://edition.cnn.com/videos/sports/2022/01/29/joel-embiid-africa-cup-of-nations-cameroon-davies-ws-intl-vpx.cnn
